Product,Category,Quantity,Sales,Profit,Rating,Sales_Scaled,Sales_Category
Laptop,Electronics,5,5000,1000,4.5,0.6000000000000001,Medium
Phone,Electronics,10,7000,1400,4.3,0.8666666666666667,High
Tablet,Electronics,7,3500,700,4.1,0.4,Medium
Monitor,Electronics,4,2000,400,4.0,0.2,Low
Keyboard,Accessories,15,750,150,4.6,0.03333333333333334,Low
Mouse,Accessories,20,500,100,4.3055555555555545,0.0,Low
Printer,Electronics,3,1800,360,3.9,0.17333333333333334,Low
Camera,Electronics,6,4200,840,4.7,0.4933333333333334,Medium
Speaker,Accessories,12,1200,240,4.2,0.09333333333333334,Low
Headphones,Accessories,14,1400,280,4.4,0.12000000000000001,Low
Laptop,Electronics,8,8000,1600,4.6,1.0,High
Phone,Electronics,11,7700,1540,4.5,0.96,High
Tablet,Electronics,5,2500,500,4.3055555555555545,0.2666666666666667,Low
Monitor,Electronics,7,3500,700,4.1,0.4,Medium
Keyboard,Accessories,18,900,180,4.3,0.053333333333333344,Low
Mouse,Accessories,25,625,125,4.0,0.016666666666666677,Low
Printer,Electronics,4,2400,480,3.8,0.25333333333333335,Low
Camera,Electronics,5,3500,700,4.8,0.4,Medium
Speaker,Accessories,13,1300,260,4.2,0.10666666666666667,Low
