Product,Category,Quantity,Sales,Profit,Rating
Laptop,Electronics,5,5000,1000,4.5
Phone,Electronics,10,7000,1400,4.3
Tablet,Electronics,7,3500,700,4.1
Monitor,Electronics,4,2000,400,4.0
Keyboard,Accessories,15,750,150,4.6
Mouse,Accessories,20,500,100,
Printer,Electronics,3,1800,360,3.9
Camera,Electronics,6,4200,840,4.7
Speaker,Accessories,12,1200,240,4.2
Headphones,Accessories,14,1400,280,4.4
Laptop,Electronics,8,8000,1600,4.6
Phone,Electronics,11,7700,1540,4.5
Tablet,Electronics,5,2500,500,
Monitor,Electronics,7,3500,700,4.1
Keyboard,Accessories,18,900,180,4.3
Mouse,Accessories,25,625,125,4.0
Printer,Electronics,4,2400,480,3.8
Camera,Electronics,5,3500,700,4.8
Speaker,Accessories,13,1300,260,4.2
Headphones,Accessories,16,16000,3200,4.5
